,history_generator_loss,history_discriminator_loss
146,"tf.Tensor(0.7312811, shape=(), dtype=float32)","tf.Tensor(2.0424447, shape=(), dtype=float32)"
147,"tf.Tensor(0.7368524, shape=(), dtype=float32)","tf.Tensor(2.1449823, shape=(), dtype=float32)"
148,"tf.Tensor(0.7441236, shape=(), dtype=float32)","tf.Tensor(2.0238795, shape=(), dtype=float32)"
149,"tf.Tensor(0.74449646, shape=(), dtype=float32)","tf.Tensor(1.8575565, shape=(), dtype=float32)"
150,"tf.Tensor(0.7487453, shape=(), dtype=float32)","tf.Tensor(1.7271407, shape=(), dtype=float32)"
151,"tf.Tensor(0.77500147, shape=(), dtype=float32)","tf.Tensor(1.7532209, shape=(), dtype=float32)"
152,"tf.Tensor(0.8405055, shape=(), dtype=float32)","tf.Tensor(1.5455108, shape=(), dtype=float32)"
153,"tf.Tensor(0.86630416, shape=(), dtype=float32)","tf.Tensor(1.4917572, shape=(), dtype=float32)"
154,"tf.Tensor(0.9079052, shape=(), dtype=float32)","tf.Tensor(1.3442571, shape=(), dtype=float32)"
155,"tf.Tensor(0.87336344, shape=(), dtype=float32)","tf.Tensor(1.1952296, shape=(), dtype=float32)"
156,"tf.Tensor(0.9309565, shape=(), dtype=float32)","tf.Tensor(1.2138964, shape=(), dtype=float32)"
157,"tf.Tensor(1.0209322, shape=(), dtype=float32)","tf.Tensor(1.0763981, shape=(), dtype=float32)"
158,"tf.Tensor(1.1175969, shape=(), dtype=float32)","tf.Tensor(0.96975464, shape=(), dtype=float32)"
159,"tf.Tensor(1.1494297, shape=(), dtype=float32)","tf.Tensor(0.86354685, shape=(), dtype=float32)"
160,"tf.Tensor(1.230592, shape=(), dtype=float32)","tf.Tensor(0.7900968, shape=(), dtype=float32)"
161,"tf.Tensor(1.4049255, shape=(), dtype=float32)","tf.Tensor(0.7691602, shape=(), dtype=float32)"
162,"tf.Tensor(1.4868895, shape=(), dtype=float32)","tf.Tensor(0.7395288, shape=(), dtype=float32)"
163,"tf.Tensor(1.5405887, shape=(), dtype=float32)","tf.Tensor(0.6168264, shape=(), dtype=float32)"
164,"tf.Tensor(1.6752281, shape=(), dtype=float32)","tf.Tensor(0.5494071, shape=(), dtype=float32)"
165,"tf.Tensor(1.7434287, shape=(), dtype=float32)","tf.Tensor(0.50574225, shape=(), dtype=float32)"
166,"tf.Tensor(1.7108938, shape=(), dtype=float32)","tf.Tensor(0.5078234, shape=(), dtype=float32)"
167,"tf.Tensor(1.7780118, shape=(), dtype=float32)","tf.Tensor(0.50569785, shape=(), dtype=float32)"
168,"tf.Tensor(1.8583399, shape=(), dtype=float32)","tf.Tensor(0.4563214, shape=(), dtype=float32)"
169,"tf.Tensor(1.8593378, shape=(), dtype=float32)","tf.Tensor(0.5053494, shape=(), dtype=float32)"
170,"tf.Tensor(1.9063197, shape=(), dtype=float32)","tf.Tensor(0.48245808, shape=(), dtype=float32)"
171,"tf.Tensor(1.8830652, shape=(), dtype=float32)","tf.Tensor(0.4657532, shape=(), dtype=float32)"
172,"tf.Tensor(1.970917, shape=(), dtype=float32)","tf.Tensor(0.42768914, shape=(), dtype=float32)"
173,"tf.Tensor(1.9836178, shape=(), dtype=float32)","tf.Tensor(0.49223605, shape=(), dtype=float32)"
174,"tf.Tensor(1.8996406, shape=(), dtype=float32)","tf.Tensor(0.46506014, shape=(), dtype=float32)"
175,"tf.Tensor(1.8586221, shape=(), dtype=float32)","tf.Tensor(0.45421523, shape=(), dtype=float32)"
176,"tf.Tensor(1.7801964, shape=(), dtype=float32)","tf.Tensor(0.48899582, shape=(), dtype=float32)"
177,"tf.Tensor(1.999063, shape=(), dtype=float32)","tf.Tensor(0.39441454, shape=(), dtype=float32)"
178,"tf.Tensor(1.9952786, shape=(), dtype=float32)","tf.Tensor(0.48291177, shape=(), dtype=float32)"
179,"tf.Tensor(2.0379844, shape=(), dtype=float32)","tf.Tensor(0.4522388, shape=(), dtype=float32)"
180,"tf.Tensor(2.0498204, shape=(), dtype=float32)","tf.Tensor(0.42700058, shape=(), dtype=float32)"
